as_of_date,account_id,customer_id,country_code,legal_entity,full_name,customer_segment,statement_month,due_date,days_to_due,minimum_due,total_due,amount_paid,amount_outstanding,payment_status,overdue_days,overdue_bucket,consecutive_late,late_fee,interest_at_risk,is_giro_enrolled,preferred_method,currency_code,created_at
2025-11-30,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-11,2025-12-21,21,53.5,1783.33,1783.33,0.0,paid_full,0,current,0,0.0,0.0,1,giro,SGD,2025-12-31 23:59:59
2025-12-31,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-12,2026-01-21,21,50.0,1457.22,50.0,1407.22,paid_minimum,0,current,0,0.0,21.11,1,giro,SGD,2025-12-31 23:59:59
2025-01-31,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-01,2025-02-21,21,3808.46,126948.57,126948.57,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-02-28,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-02,2025-03-21,21,105.79,3526.23,3526.23,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-03-31,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-03,2025-04-21,21,129.68,4322.55,3069.11,1253.44,paid_partial,0,current,0,0.0,18.8,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-04-30,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-04,2025-05-21,21,190.17,6339.06,6339.06,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-05-31,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-05,2025-06-21,21,64.75,2158.41,64.75,2093.66,paid_minimum,0,current,0,0.0,31.4,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-06-30,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-06,2025-07-21,21,212.32,7077.49,7077.49,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-07-31,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-07,2025-08-21,21,154.91,5163.77,5163.77,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-08-31,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-08,2025-09-21,21,141.84,4727.9,4727.9,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-09-30,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-09,2025-10-21,21,254.79,8493.08,2962.83,5530.25,paid_partial,0,current,0,0.0,82.95,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-10-31,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-10,2025-11-21,21,345.19,11506.45,6604.94,4901.51,paid_partial,0,current,0,0.0,73.52,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-11-30,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-11,2025-12-21,21,266.26,8875.46,266.26,8609.2,overdue,2,1-30 days,0,25.0,129.14,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-12-31,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-12,2026-01-21,21,467.59,15586.18,15586.18,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-01-31,ACC_0000003,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-01,2025-02-21,21,202.14,6738.07,5998.77,739.3,paid_partial,0,current,0,0.0,11.09,0,giro,SGD,2025-12-31 23:59:59
2025-02-28,ACC_0000003,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-02,2025-03-21,21,50.0,1524.28,50.0,1474.28,paid_minimum,0,current,0,0.0,22.11,0,giro,SGD,2025-12-31 23:59:59
2025-03-31,ACC_0000003,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-03,2025-04-21,21,67.12,2237.31,2237.31,0.0,paid_full,0,current,0,0.0,0.0,1,giro,SGD,2025-12-31 23:59:59
2025-04-30,ACC_0000003,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-04,2025-05-21,21,52.2,1740.14,1106.54,633.6,paid_partial,0,current,0,0.0,9.5,1,giro,SGD,2025-12-31 23:59:59
2025-05-31,ACC_0000003,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-05,2025-06-21,21,50.0,1057.87,739.76,318.11,paid_partial,0,current,0,0.0,4.77,0,giro,SGD,2025-12-31 23:59:59
2025-06-30,ACC_0000003,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-06,2025-07-21,21,94.4,3146.51,94.4,3052.11,overdue,24,1-30 days,0,25.0,45.78,1,giro,SGD,2025-12-31 23:59:59
2025-07-31,ACC_0000003,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-07,2025-08-21,21,125.26,4175.19,4175.19,0.0,paid_full,0,current,0,0.0,0.0,0,giro,SGD,2025-12-31 23:59:59
2025-08-31,ACC_0000003,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-08,2025-09-21,21,50.0,1493.89,794.65,699.24,paid_partial,0,current,0,0.0,10.49,0,giro,SGD,2025-12-31 23:59:59
2025-09-30,ACC_0000003,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-09,2025-10-21,21,50.0,1380.84,1380.84,0.0,paid_full,0,current,0,0.0,0.0,1,giro,SGD,2025-12-31 23:59:59
2025-10-31,ACC_0000003,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-10,2025-11-21,21,50.0,267.83,196.96,70.87,paid_partial,0,current,0,0.0,1.06,1,giro,SGD,2025-12-31 23:59:59
2025-11-30,ACC_0000003,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-11,2025-12-21,21,50.0,80.1,50.0,30.1,paid_minimum,0,current,0,0.0,0.45,0,giro,SGD,2025-12-31 23:59:59
2025-12-31,ACC_0000003,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-12,2026-01-21,21,50.0,1210.8,1210.8,0.0,paid_full,0,current,0,0.0,0.0,0,giro,SGD,2025-12-31 23:59:59
2025-01-31,ACC_0000004,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-01,2025-02-21,21,392.48,13082.73,13082.73,0.0,paid_full,0,current,0,0.0,0.0,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-02-28,ACC_0000004,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-02,2025-03-21,21,50.0,348.63,50.0,298.63,paid_minimum,0,current,0,0.0,4.48,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-03-31,ACC_0000004,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-03,2025-04-21,21,50.0,407.24,50.0,357.24,overdue,2,1-30 days,0,25.0,5.36,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-04-30,ACC_0000004,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-04,2025-05-21,21,61.91,2063.55,61.91,2001.64,overdue,3,1-30 days,0,25.0,30.02,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-05-31,ACC_0000004,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-05,2025-06-21,21,77.73,2590.97,77.73,2513.24,overdue,32,31-60 days,0,25.0,37.7,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-06-30,ACC_0000004,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-06,2025-07-21,21,100.64,3354.59,100.64,3253.95,paid_minimum,0,current,0,0.0,48.81,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-07-31,ACC_0000004,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-07,2025-08-21,21,106.99,3566.31,3162.19,404.12,paid_partial,0,current,0,0.0,6.06,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-08-31,ACC_0000004,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-08,2025-09-21,21,50.0,1038.19,1038.19,0.0,paid_full,0,current,0,0.0,0.0,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-09-30,ACC_0000004,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-09,2025-10-21,21,50.0,674.66,674.66,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-10-31,ACC_0000004,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-10,2025-11-21,21,50.0,327.36,218.51,108.85,paid_partial,0,current,0,0.0,1.63,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-11-30,ACC_0000004,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-11,2025-12-21,21,50.0,438.28,172.65,265.63,paid_partial,0,current,0,0.0,3.98,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-12-31,ACC_0000004,CUST_000003,SG,SG_BANK,Jian Lee,mass,2025-12,2026-01-21,21,50.0,900.2,843.2,57.0,paid_partial,0,current,0,0.0,0.85,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-01-31,ACC_0000005,CUST_000004,SG,SG_BANK,Hong Ong,mass,2025-01,2025-02-21,21,666.68,22222.75,6708.08,15514.67,paid_partial,0,current,0,0.0,232.72,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-02-28,ACC_0000005,CUST_000004,SG,SG_BANK,Hong Ong,mass,2025-02,2025-03-21,21,481.18,16039.36,11335.6,4703.76,paid_partial,0,current,0,0.0,70.56,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-03-31,ACC_0000005,CUST_000004,SG,SG_BANK,Hong Ong,mass,2025-03,2025-04-21,21,156.41,5213.64,5213.64,0.0,paid_full,0,current,0,0.0,0.0,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-04-30,ACC_0000005,CUST_000004,SG,SG_BANK,Hong Ong,mass,2025-04,2025-05-21,21,50.0,1638.6,50.0,1588.6,overdue,3,1-30 days,0,25.0,23.83,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-05-31,ACC_0000005,CUST_000004,SG,SG_BANK,Hong Ong,mass,2025-05,2025-06-21,21,90.28,3009.48,3009.48,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-06-30,ACC_0000005,CUST_000004,SG,SG_BANK,Hong Ong,mass,2025-06,2025-07-21,21,50.0,1366.73,1366.73,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-07-31,ACC_0000005,CUST_000004,SG,SG_BANK,Hong Ong,mass,2025-07,2025-08-21,21,50.0,226.02,226.02,0.0,paid_full,0,current,0,0.0,0.0,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-08-31,ACC_0000005,CUST_000004,SG,SG_BANK,Hong Ong,mass,2025-08,2025-09-21,21,50.0,1073.63,636.4,437.23,paid_partial,0,current,0,0.0,6.56,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-09-30,ACC_0000005,CUST_000004,SG,SG_BANK,Hong Ong,mass,2025-09,2025-10-21,21,50.0,697.03,697.03,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-10-31,ACC_0000005,CUST_000004,SG,SG_BANK,Hong Ong,mass,2025-10,2025-11-21,21,50.0,893.03,893.03,0.0,paid_full,0,current,0,0.0,0.0,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-11-30,ACC_0000005,CUST_000004,SG,SG_BANK,Hong Ong,mass,2025-11,2025-12-21,21,50.0,237.42,113.42,124.0,paid_partial,0,current,0,0.0,1.86,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-12-31,ACC_0000005,CUST_000004,SG,SG_BANK,Hong Ong,mass,2025-12,2026-01-21,21,70.4,2346.55,735.67,1610.88,paid_partial,0,current,0,0.0,24.16,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-01-31,ACC_0000006,CUST_000005,SG,SG_BANK,Jing Ho,mass,2025-01,2025-02-21,21,318.88,10629.43,10629.43,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-02-28,ACC_0000006,CUST_000005,SG,SG_BANK,Jing Ho,mass,2025-02,2025-03-21,21,50.0,628.85,628.85,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-03-31,ACC_0000006,CUST_000005,SG,SG_BANK,Jing Ho,mass,2025-03,2025-04-21,21,50.0,1386.45,50.0,1336.45,overdue,19,1-30 days,0,25.0,20.05,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-04-30,ACC_0000006,CUST_000005,SG,SG_BANK,Jing Ho,mass,2025-04,2025-05-21,21,81.08,2702.78,2702.78,0.0,paid_full,0,current,0,0.0,0.0,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-05-31,ACC_0000006,CUST_000005,SG,SG_BANK,Jing Ho,mass,2025-05,2025-06-21,21,50.0,173.94,173.94,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-06-30,ACC_0000006,CUST_000005,SG,SG_BANK,Jing Ho,mass,2025-06,2025-07-21,21,50.0,581.48,50.0,531.48,overdue,2,1-30 days,0,25.0,7.97,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-07-31,ACC_0000006,CUST_000005,SG,SG_BANK,Jing Ho,mass,2025-07,2025-08-21,21,72.51,2417.02,2417.02,0.0,paid_full,0,current,0,0.0,0.0,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-08-31,ACC_0000006,CUST_000005,SG,SG_BANK,Jing Ho,mass,2025-08,2025-09-21,21,50.0,811.77,811.77,0.0,paid_full,0,current,0,0.0,0.0,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-09-30,ACC_0000006,CUST_000005,SG,SG_BANK,Jing Ho,mass,2025-09,2025-10-21,21,70.45,2348.47,2348.47,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-10-31,ACC_0000006,CUST_000005,SG,SG_BANK,Jing Ho,mass,2025-10,2025-11-21,21,50.0,167.6,73.69,93.91,paid_partial,0,current,0,0.0,1.41,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-11-30,ACC_0000006,CUST_000005,SG,SG_BANK,Jing Ho,mass,2025-11,2025-12-21,21,50.0,1615.68,1615.68,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-12-31,ACC_0000006,CUST_000005,SG,SG_BANK,Jing Ho,mass,2025-12,2026-01-21,21,50.0,1330.23,403.26,926.97,paid_partial,0,current,0,0.0,13.9,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-01-31,ACC_0000007,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-01,2025-02-21,21,197.17,6572.48,6572.48,0.0,paid_full,0,current,0,0.0,0.0,1,giro,SGD,2025-12-31 23:59:59
2025-02-28,ACC_0000007,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-02,2025-03-21,21,50.0,1186.16,50.0,1136.16,overdue,2,1-30 days,0,25.0,17.04,1,giro,SGD,2025-12-31 23:59:59
2025-03-31,ACC_0000007,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-03,2025-04-21,21,99.03,3301.04,3301.04,0.0,paid_full,0,current,0,0.0,0.0,0,giro,SGD,2025-12-31 23:59:59
2025-04-30,ACC_0000007,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-04,2025-05-21,21,50.0,1500.39,50.0,1450.39,overdue,7,1-30 days,0,25.0,21.76,1,giro,SGD,2025-12-31 23:59:59
2025-05-31,ACC_0000007,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-05,2025-06-21,21,125.02,4167.5,1882.4,2285.1,paid_partial,0,current,0,0.0,34.28,1,giro,SGD,2025-12-31 23:59:59
2025-06-30,ACC_0000007,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-06,2025-07-21,21,94.57,3152.2,3152.2,0.0,paid_full,0,current,0,0.0,0.0,0,giro,SGD,2025-12-31 23:59:59
2025-07-31,ACC_0000007,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-07,2025-08-21,21,50.0,542.72,269.2,273.52,paid_partial,0,current,0,0.0,4.1,0,giro,SGD,2025-12-31 23:59:59
2025-08-31,ACC_0000007,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-08,2025-09-21,21,50.0,798.41,798.41,0.0,paid_full,0,current,0,0.0,0.0,0,giro,SGD,2025-12-31 23:59:59
2025-09-30,ACC_0000007,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-09,2025-10-21,21,50.0,712.25,50.0,662.25,paid_minimum,0,current,0,0.0,9.93,1,giro,SGD,2025-12-31 23:59:59
2025-10-31,ACC_0000007,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-10,2025-11-21,21,108.9,3630.05,3630.05,0.0,paid_full,0,current,0,0.0,0.0,1,giro,SGD,2025-12-31 23:59:59
2025-11-30,ACC_0000007,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-11,2025-12-21,21,50.0,1106.57,1106.57,0.0,paid_full,0,current,0,0.0,0.0,1,giro,SGD,2025-12-31 23:59:59
2025-12-31,ACC_0000007,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-12,2026-01-21,21,50.0,510.48,50.0,460.48,paid_minimum,0,current,0,0.0,6.91,0,giro,SGD,2025-12-31 23:59:59
2025-01-31,ACC_0000008,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-01,2025-02-21,21,421.47,14048.96,14048.96,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-02-28,ACC_0000008,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-02,2025-03-21,21,50.0,1141.85,1141.85,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-03-31,ACC_0000008,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-03,2025-04-21,21,50.0,1047.53,1047.53,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-04-30,ACC_0000008,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-04,2025-05-21,21,50.0,641.58,346.94,294.64,paid_partial,0,current,0,0.0,4.42,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-05-31,ACC_0000008,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-05,2025-06-21,21,50.0,443.45,0.0,443.45,overdue,7,1-30 days,0,25.0,6.65,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-06-30,ACC_0000008,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-06,2025-07-21,21,50.0,1545.47,1545.47,0.0,paid_full,0,current,0,0.0,0.0,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-07-31,ACC_0000008,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-07,2025-08-21,21,63.1,2103.46,983.97,1119.49,paid_partial,0,current,0,0.0,16.79,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-08-31,ACC_0000008,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-08,2025-09-21,21,102.13,3404.33,3404.33,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-09-30,ACC_0000008,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-09,2025-10-21,21,50.0,998.8,998.8,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-10-31,ACC_0000008,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-10,2025-11-21,21,50.0,241.77,241.77,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-11-30,ACC_0000008,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-11,2025-12-21,21,50.0,1427.59,1132.47,295.12,paid_partial,0,current,0,0.0,4.43,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-12-31,ACC_0000008,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2025-12,2026-01-21,21,58.7,1956.56,1956.56,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-01-31,ACC_0000009,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-01,2025-02-21,21,259.14,8637.85,8637.85,0.0,paid_full,0,current,0,0.0,0.0,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-02-28,ACC_0000009,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-02,2025-03-21,21,50.0,596.83,50.0,546.83,overdue,3,1-30 days,0,25.0,8.2,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-03-31,ACC_0000009,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-03,2025-04-21,21,50.0,1038.44,1038.44,0.0,paid_full,0,current,0,0.0,0.0,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-04-30,ACC_0000009,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-04,2025-05-21,21,50.0,444.67,164.7,279.97,paid_partial,0,current,0,0.0,4.2,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-05-31,ACC_0000009,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-05,2025-06-21,21,83.05,2768.49,2768.49,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-06-30,ACC_0000009,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-06,2025-07-21,21,50.0,739.02,739.02,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-07-31,ACC_0000009,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-07,2025-08-21,21,50.0,1070.83,583.73,487.1,paid_partial,0,current,0,0.0,7.31,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-08-31,ACC_0000009,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-08,2025-09-21,21,54.71,1823.78,1823.78,0.0,paid_full,0,current,0,0.0,0.0,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-09-30,ACC_0000009,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-09,2025-10-21,21,50.0,201.53,201.53,0.0,paid_full,0,current,0,0.0,0.0,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-10-31,ACC_0000009,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-10,2025-11-21,21,60.76,2025.4,60.76,1964.64,paid_minimum,0,current,0,0.0,29.47,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-11-30,ACC_0000009,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-11,2025-12-21,21,66.93,2230.92,1087.61,1143.31,paid_partial,0,current,0,0.0,17.15,0,bank_transfer,SGD,2025-12-31 23:59:59
2025-12-31,ACC_0000009,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-12,2026-01-21,21,65.23,2174.47,65.23,2109.24,paid_minimum,0,current,0,0.0,31.64,1,bank_transfer,SGD,2025-12-31 23:59:59
2025-01-31,ACC_0000010,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-01,2025-02-21,21,332.26,11075.4,4805.23,6270.17,paid_partial,0,current,0,0.0,94.05,1,cheque,SGD,2025-12-31 23:59:59
2025-02-28,ACC_0000010,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-02,2025-03-21,21,216.59,7219.64,216.59,7003.05,overdue,3,1-30 days,0,25.0,105.05,1,cheque,SGD,2025-12-31 23:59:59
2025-03-31,ACC_0000010,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-03,2025-04-21,21,237.42,7913.91,5930.09,1983.82,paid_partial,0,current,0,0.0,29.76,0,cheque,SGD,2025-12-31 23:59:59
2025-04-30,ACC_0000010,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-04,2025-05-21,21,85.96,2865.32,1664.13,1201.19,paid_partial,0,current,0,0.0,18.02,0,cheque,SGD,2025-12-31 23:59:59
2025-05-31,ACC_0000010,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-05,2025-06-21,21,56.09,1869.76,1663.49,206.27,paid_partial,0,current,0,0.0,3.09,0,cheque,SGD,2025-12-31 23:59:59
2025-06-30,ACC_0000010,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2025-06,2025-07-21,21,50.0,483.36,220.43,262.93,paid_partial,0,current,0,0.0,3.94,0,cheque,SGD,2025-12-31 23:59:59
