as_of_date,customer_id,country_code,legal_entity,full_name,first_name,last_name,customer_segment,risk_rating,kyc_status,age,age_band,credit_score,credit_band,primary_account_id,account_type,current_balance,available_balance,credit_limit,utilization_pct,total_accounts,mtd_spend,last_month_spend,spend_change_pct,top_spend_category,payment_status,total_due,days_to_due,is_overdue,consecutive_late,active_fraud_alerts,currency_code,created_at
2025-12-31,CUST_000019,SG,SG_BANK,Fang Lau,Fang,Lau,affluent,low,verified,64,56-65,783,very_good,ACC_0000026,credit_card,18259.41,23040.59,41300.0,0.4421,1,1526.2,2002.81,-0.238,healthcare,paid_partial,2008.19,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000020,SG,SG_BANK,Hong Lee,Hong,Lee,affluent,low,verified,40,36-45,740,very_good,ACC_0000027,credit_card,9492.45,17807.55,27300.0,0.3477,1,672.54,729.48,-0.0781,grocery,paid_partial,672.54,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000021,SG,SG_BANK,Fang Wong,Fang,Wong,premium,medium,pending,63,56-65,616,fair,ACC_0000028,credit_card,106267.32,50432.68,156700.0,0.6782,2,10578.89,9329.74,0.1339,retail_shopping,paid_full,7910.79,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000022,SG,SG_BANK,Ling Heng,Ling,Heng,premium,medium,verified,49,46-55,623,fair,ACC_0000030,credit_card,59787.58,87612.42,147400.0,0.4056,1,2860.04,5703.33,-0.4985,utilities,paid_partial,8461.42,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000023,SG,SG_BANK,Kasim bin Bakar,Kasim,bin Bakar,mass,low,verified,31,26-35,786,very_good,ACC_0000031,credit_card,7531.25,11068.75,18600.0,0.4049,1,985.54,645.71,0.5263,retail_shopping,paid_partial,2863.51,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000024,SG,SG_BANK,Fang Sim,Fang,Sim,mass,low,verified,36,36-45,783,very_good,ACC_0000032,credit_card,2351.55,8848.45,11200.0,0.21,1,1597.14,832.38,0.9188,grocery,paid_full,1597.14,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000025,SG,SG_BANK,Iskandar bin Hassan,Iskandar,bin Hassan,affluent,low,verified,51,46-55,787,very_good,ACC_0000033,credit_card,17261.51,28038.49,45300.0,0.381,1,2058.53,2046.9,0.0057,retail_shopping,paid_full,2058.53,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000026,SG,SG_BANK,Ming Goh,Ming,Goh,affluent,low,verified,51,46-55,709,good,ACC_0000034,credit_card,15359.6,34540.4,49900.0,0.3078,2,6021.14,7990.16,-0.2464,retail_shopping,paid_full,2602.51,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000027,SG,SG_BANK,Ling Ng,Ling,Ng,affluent,medium,verified,59,56-65,647,fair,ACC_0000036,credit_card,12431.73,9368.27,21800.0,0.5703,1,2610.27,3082.64,-0.1532,retail_shopping,paid_partial,2610.27,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000028,SG,SG_BANK,Na Lau,Na,Lau,mass,low,pending,68,65+,751,very_good,ACC_0000037,credit_card,8611.76,5388.24,14000.0,0.6151,1,408.34,1390.87,-0.7064,travel_transport,paid_full,1799.25,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000029,SG,SG_BANK,Xin Phua,Xin,Phua,mass,medium,verified,22,18-25,681,good,ACC_0000038,credit_card,9090.69,6809.31,15900.0,0.5717,2,3104.93,966.94,2.2111,travel_transport,paid_full,2535.77,21,0,0,1,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000030,SG,SG_BANK,Zuraidah binte Salleh,Zuraidah,binte Salleh,mass,low,verified,43,36-45,729,good,ACC_0000040,credit_card,16011.32,12388.68,28400.0,0.5638,1,870.39,956.5,-0.09,travel_transport,paid_partial,1341.07,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000031,SG,SG_BANK,Omar bin Ismail,Omar,bin Ismail,affluent,medium,verified,40,36-45,586,fair,ACC_0000041,credit_card,18149.89,23250.11,41400.0,0.4384,1,3089.84,1557.04,0.9844,utilities,paid_partial,4200.81,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000032,SG,SG_BANK,Suhaimi bin Aziz,Suhaimi,bin Aziz,affluent,high,verified,25,18-25,585,fair,ACC_0000042,credit_card,47711.42,23388.58,71100.0,0.671,1,2934.83,800.94,2.6642,travel_transport,paid_partial,5580.44,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000033,SG,SG_BANK,Fang Goh,Fang,Goh,mass,low,verified,38,36-45,680,good,ACC_0000043,credit_card,8867.52,18332.48,27200.0,0.326,1,487.85,811.1,-0.3985,travel_transport,paid_full,487.85,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000034,SG,SG_BANK,Hong Goh,Hong,Goh,mass,low,verified,49,46-55,716,good,ACC_0000044,credit_card,3198.43,7301.57,10500.0,0.3046,1,1523.25,1064.8,0.4306,retail_shopping,paid_full,1523.25,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000035,SG,SG_BANK,Cheng Ong,Cheng,Ong,mass,high,pending,60,56-65,310,poor,ACC_0000045,credit_card,16431.47,23368.53,39800.0,0.4129,1,829.6,1462.37,-0.4327,travel_transport,paid_partial,4728.76,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000036,SG,SG_BANK,Iskandar bin Othman,Iskandar,bin Othman,mass,low,verified,43,36-45,806,excellent,ACC_0000046,credit_card,4083.63,11816.37,15900.0,0.2568,2,3038.07,1756.43,0.7297,hotel,paid_partial,1183.4,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000037,SG,SG_BANK,Izzati binte Salleh,Izzati,binte Salleh,mass,low,verified,45,36-45,748,very_good,ACC_0000048,credit_card,7386.01,8613.99,16000.0,0.4616,1,617.89,654.11,-0.0554,retail_shopping,paid_full,617.89,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000038,SG,SG_BANK,Fadzli bin Ahmad,Fadzli,bin Ahmad,affluent,low,verified,51,46-55,810,excellent,ACC_0000049,credit_card,11369.32,8930.68,20300.0,0.5601,1,1540.31,2197.33,-0.299,travel_transport,paid_partial,1540.31,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000039,SG,SG_BANK,Jian Teo,Jian,Teo,mass,low,verified,59,56-65,768,very_good,ACC_0000050,credit_card,7454.21,3245.79,10700.0,0.6967,1,365.14,665.68,-0.4515,retail_shopping,paid_full,365.14,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000040,SG,SG_BANK,Cheng Tay,Cheng,Tay,mass,low,verified,64,56-65,831,excellent,ACC_0000051,credit_card,6167.73,8032.27,14200.0,0.4343,1,245.43,470.03,-0.4778,food_dining,paid_full,468.09,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000041,SG,SG_BANK,Iskandar bin Ghani,Iskandar,bin Ghani,premium,medium,pending,65,56-65,698,good,ACC_0000052,credit_card,95543.56,50156.44,145700.0,0.6558,1,5052.18,5130.01,-0.0152,travel_transport,paid_full,13140.57,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000042,SG,SG_BANK,Ying Ong,Ying,Ong,mass,low,verified,25,18-25,824,excellent,ACC_0000053,credit_card,3977.44,10422.56,14400.0,0.2762,1,708.42,608.6,0.164,travel_transport,paid_partial,708.42,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000043,SG,SG_BANK,Na Teo,Na,Teo,mass,high,enhanced_due_diligence,65,56-65,428,poor,ACC_0000054,credit_card,14100.75,8399.25,22500.0,0.6267,1,704.14,580.36,0.2133,travel_transport,paid_full,3860.53,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000044,SG,SG_BANK,Feng Tay,Feng,Tay,premium,medium,enhanced_due_diligence,39,36-45,687,good,ACC_0000055,credit_card,22524.78,48775.22,71300.0,0.3159,1,5024.93,1365.96,2.6787,travel_transport,paid_partial,15149.6,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000045,SG,SG_BANK,Jun Lee,Jun,Lee,mass,low,verified,40,36-45,773,very_good,ACC_0000056,credit_card,4109.53,1890.47,6000.0,0.6849,1,965.7,1156.23,-0.1648,travel_transport,paid_full,2773.52,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000046,SG,SG_BANK,Fatin binte Othman,Fatin,binte Othman,mass,low,verified,22,18-25,747,very_good,ACC_0000057,credit_card,6568.27,10331.73,16900.0,0.3887,1,449.44,794.79,-0.4345,retail_shopping,paid_full,833.14,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000047,SG,SG_BANK,Feng Lau,Feng,Lau,premium,low,verified,29,26-35,704,good,ACC_0000058,credit_card,108311.94,52688.06,161000.0,0.6727,1,4943.81,7239.31,-0.3171,travel_transport,paid_full,7209.87,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000048,SG,SG_BANK,Zuraidah binte Ibrahim,Zuraidah,binte Ibrahim,premium,medium,verified,35,26-35,699,good,ACC_0000059,credit_card,85713.41,119486.59,205200.0,0.4177,1,4458.98,3492.55,0.2767,travel_transport,paid_partial,7889.1,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000049,SG,SG_BANK,Yong Goh,Yong,Goh,affluent,medium,verified,26,26-35,712,good,ACC_0000060,credit_card,44415.06,25184.94,69600.0,0.6381,1,3297.55,1346.32,1.4493,retail_shopping,paid_full,4246.38,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000050,SG,SG_BANK,Rizal bin Bakar,Rizal,bin Bakar,affluent,low,verified,48,46-55,811,excellent,ACC_0000061,credit_card,7430.21,12969.79,20400.0,0.3642,1,3616.46,880.12,3.1091,travel_transport,paid_minimum,3616.46,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000051,SG,SG_BANK,Farah binte Rahman,Farah,binte Rahman,premium,low,verified,67,65+,712,good,ACC_0000062,credit_card,52364.86,43235.14,95600.0,0.5477,1,6479.42,3865.35,0.6763,travel_transport,paid_partial,6479.42,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000052,SG,SG_BANK,Hao Lau,Hao,Lau,mass,low,verified,43,36-45,850,excellent,ACC_0000063,credit_card,8166.74,10533.26,18700.0,0.4367,1,572.88,605.42,-0.0537,travel_transport,paid_partial,572.88,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000053,SG,SG_BANK,Lin Ng,Lin,Ng,affluent,medium,pending,48,46-55,633,fair,ACC_0000064,credit_card,16536.46,10263.54,26800.0,0.617,2,4620.73,3165.39,0.4598,retail_shopping,paid_minimum,1406.4,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000054,SG,SG_BANK,Kasim bin Ghani,Kasim,bin Ghani,affluent,low,verified,57,56-65,848,excellent,ACC_0000066,credit_card,46785.03,23014.97,69800.0,0.6703,1,967.43,5199.12,-0.8139,travel_transport,paid_full,967.43,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000055,SG,SG_BANK,Zuraidah binte Salleh,Zuraidah,binte Salleh,mass,low,verified,35,26-35,763,very_good,ACC_0000067,credit_card,8012.29,10987.71,19000.0,0.4217,2,2236.45,1422.85,0.5718,retail_shopping,paid_full,1797.08,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000056,SG,SG_BANK,Omar bin Ahmad,Omar,bin Ahmad,mass,medium,verified,44,36-45,638,fair,ACC_0000069,credit_card,10512.58,25387.42,35900.0,0.2928,2,1550.09,1439.59,0.0768,travel_transport,paid_partial,2428.63,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000057,SG,SG_BANK,Nurulain binte Salleh,Nurulain,binte Salleh,affluent,medium,verified,67,65+,570,poor,ACC_0000071,credit_card,13105.08,10594.92,23700.0,0.553,1,1031.63,4815.66,-0.7858,utilities,overdue,1031.63,21,1,0,1,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000058,SG,SG_BANK,Bin Ho,Bin,Ho,mass,low,verified,27,26-35,700,good,ACC_0000072,credit_card,4760.29,8939.71,13700.0,0.3475,1,697.11,1560.18,-0.5532,healthcare,paid_full,2260.43,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000059,SG,SG_BANK,Mei Chua,Mei,Chua,mass,medium,verified,28,26-35,579,poor,ACC_0000073,credit_card,8828.28,5471.72,14300.0,0.6174,1,479.13,1843.34,-0.7401,retail_shopping,paid_partial,1206.78,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000060,SG,SG_BANK,Hafiz bin Yahya,Hafiz,bin Yahya,mass,low,verified,25,18-25,774,very_good,ACC_0000074,credit_card,17585.1,8114.9,25700.0,0.6842,1,1684.9,1175.56,0.4333,travel_transport,paid_full,1684.9,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000061,SG,SG_BANK,Ahmad bin Rahman,Ahmad,bin Rahman,mass,medium,verified,28,26-35,672,good,ACC_0000075,credit_card,9319.53,4780.47,14100.0,0.661,2,1922.63,2443.75,-0.2132,healthcare,paid_partial,1096.36,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000062,SG,SG_BANK,Farah binte Salleh,Farah,binte Salleh,mass,medium,enhanced_due_diligence,65,56-65,598,fair,ACC_0000077,credit_card,7366.72,12633.28,20000.0,0.3683,1,894.61,1174.75,-0.2385,utilities,paid_full,894.61,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000063,SG,SG_BANK,Hana binte Aziz,Hana,binte Aziz,premium,low,verified,66,65+,810,excellent,ACC_0000078,credit_card,44363.89,59236.11,103600.0,0.4282,2,9221.5,12135.27,-0.2401,retail_shopping,paid_partial,4324.19,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000064,SG,SG_BANK,Sheng Lim,Sheng,Lim,affluent,low,verified,64,56-65,726,good,ACC_0000080,credit_card,9672.27,19227.73,28900.0,0.3347,1,2856.14,2896.16,-0.0138,retail_shopping,paid_full,2856.14,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000065,SG,SG_BANK,Bin Goh,Bin,Goh,premium,low,verified,45,36-45,777,very_good,ACC_0000081,credit_card,45711.72,78988.28,124700.0,0.3666,1,6225.24,4852.62,0.2829,travel_transport,paid_partial,6225.24,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000066,SG,SG_BANK,Jian Yeo,Jian,Yeo,mass,high,verified,54,46-55,313,poor,ACC_0000082,credit_card,11407.72,26592.28,38000.0,0.3002,1,2291.55,871.07,1.6307,hotel,overdue,4886.05,21,1,0,1,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000067,SG,SG_BANK,Mei Wong,Mei,Wong,mass,medium,verified,24,18-25,674,good,ACC_0000083,credit_card,7021.81,7678.19,14700.0,0.4777,2,1988.12,1106.92,0.7961,retail_shopping,paid_full,1253.81,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000068,SG,SG_BANK,Irfan bin Yahya,Irfan,bin Yahya,affluent,low,verified,51,46-55,841,excellent,ACC_0000085,credit_card,61720.91,33379.09,95100.0,0.649,1,1887.34,2166.13,-0.1287,retail_shopping,paid_partial,2421.16,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000069,SG,SG_BANK,Sheng Heng,Sheng,Heng,mass,low,verified,54,46-55,775,very_good,ACC_0000086,credit_card,9742.0,23958.0,33700.0,0.2891,1,517.68,262.37,0.9731,travel_transport,paid_partial,543.12,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000070,SG,SG_BANK,Hong Yeo,Hong,Yeo,mass,low,verified,66,65+,797,very_good,ACC_0000087,credit_card,5084.86,13815.14,18900.0,0.269,1,1955.27,2256.24,-0.1334,hotel,paid_partial,3298.49,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000071,SG,SG_BANK,Irfan bin Abdullah,Irfan,bin Abdullah,mass,low,pending,63,56-65,792,very_good,ACC_0000088,credit_card,6044.28,10955.72,17000.0,0.3555,1,384.87,836.49,-0.5399,grocery,paid_full,1019.99,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000072,SG,SG_BANK,Suhaimi bin Mohamed,Suhaimi,bin Mohamed,affluent,low,verified,41,36-45,794,very_good,ACC_0000089,credit_card,41605.49,69894.51,111500.0,0.3731,1,1373.25,1420.33,-0.0331,retail_shopping,paid_full,1373.25,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000073,SG,SG_BANK,Bin Lim,Bin,Lim,affluent,low,verified,30,26-35,825,excellent,ACC_0000090,credit_card,13191.42,50908.58,64100.0,0.2058,2,4745.13,4218.75,0.1248,travel_transport,paid_partial,2637.36,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000074,SG,SG_BANK,Bin Heng,Bin,Heng,mass,low,verified,46,46-55,836,excellent,ACC_0000092,credit_card,8771.68,15028.32,23800.0,0.3686,1,1866.51,486.35,2.8378,travel_transport,paid_partial,1866.51,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000075,SG,SG_BANK,Xin Teo,Xin,Teo,premium,medium,verified,32,26-35,617,fair,ACC_0000093,credit_card,3738.68,13261.32,17000.0,0.2199,1,6868.34,4186.7,0.6405,retail_shopping,paid_full,6868.34,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000076,SG,SG_BANK,Azrul bin Bakar,Azrul,bin Bakar,affluent,medium,verified,52,46-55,578,poor,ACC_0000094,credit_card,19058.87,70941.13,90000.0,0.2118,1,1311.94,3061.63,-0.5715,retail_shopping,overdue,3864.73,21,1,0,1,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000077,SG,SG_BANK,Rizal bin Ibrahim,Rizal,bin Ibrahim,premium,low,verified,67,65+,700,good,ACC_0000095,credit_card,27703.05,99196.95,126900.0,0.2183,1,6393.86,6527.86,-0.0205,retail_shopping,paid_minimum,17853.16,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000078,SG,SG_BANK,Yong Ong,Yong,Ong,premium,low,enhanced_due_diligence,58,56-65,827,excellent,ACC_0000096,credit_card,61904.33,104195.67,166100.0,0.3727,1,4911.16,4874.79,0.0075,travel_transport,paid_full,4911.16,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000079,SG,SG_BANK,Nordin bin Othman,Nordin,bin Othman,mass,low,pending,52,46-55,761,very_good,ACC_0000097,credit_card,5409.57,8590.43,14000.0,0.3864,1,402.23,1244.98,-0.6769,travel_transport,paid_full,1619.12,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000080,SG,SG_BANK,Yong Lau,Yong,Lau,mass,low,verified,37,36-45,720,good,ACC_0000098,credit_card,4482.14,3317.86,7800.0,0.5746,1,517.5,1830.05,-0.7172,retail_shopping,paid_partial,3034.88,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000081,SG,SG_BANK,Feng Sim,Feng,Sim,affluent,low,pending,40,36-45,773,very_good,ACC_0000099,credit_card,42911.53,28988.47,71900.0,0.5968,1,1897.36,2544.48,-0.2543,retail_shopping,paid_full,4402.53,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000082,SG,SG_BANK,Feng Ng,Feng,Ng,mass,high,verified,30,26-35,401,poor,ACC_0000100,credit_card,8182.28,18417.72,26600.0,0.3076,1,1915.41,0.0,0.0,retail_shopping,paid_partial,1915.41,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000083,SG,SG_BANK,Lin Ong,Lin,Ong,affluent,low,verified,32,26-35,810,excellent,ACC_0000101,credit_card,63398.65,54201.35,117600.0,0.5391,1,859.25,1836.82,-0.5322,retail_shopping,overdue,2467.26,21,1,0,1,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000084,SG,SG_BANK,Yong Chua,Yong,Chua,mass,low,verified,68,65+,777,very_good,ACC_0000102,credit_card,10176.71,6923.29,17100.0,0.5951,1,200.13,240.44,-0.1677,travel_transport,paid_full,339.04,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000085,SG,SG_BANK,Ying Wong,Ying,Wong,mass,medium,verified,55,46-55,604,fair,ACC_0000103,credit_card,8588.61,8011.39,16600.0,0.5174,2,2434.64,2321.62,0.0487,travel_transport,paid_partial,1957.24,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000086,SG,SG_BANK,Liyana binte Bakar,Liyana,binte Bakar,mass,low,verified,35,26-35,750,very_good,ACC_0000105,credit_card,6449.3,3850.7,10300.0,0.6261,1,2245.28,265.9,7.4441,retail_shopping,paid_full,2541.51,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000087,SG,SG_BANK,Fang Goh,Fang,Goh,affluent,low,verified,56,56-65,830,excellent,ACC_0000106,credit_card,22103.95,39696.05,61800.0,0.3577,1,2340.71,1882.85,0.2432,retail_shopping,paid_partial,2340.71,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000088,SG,SG_BANK,Jun Lau,Jun,Lau,affluent,medium,verified,63,56-65,575,poor,ACC_0000107,credit_card,18968.69,70631.31,89600.0,0.2117,1,1729.59,942.79,0.8345,travel_transport,paid_full,4237.6,21,0,0,0,SGD,2025-12-31 23:59:59
