spend_month,customer_id,country_code,legal_entity,full_name,customer_segment,total_spend,food_dining,retail_shopping,travel_transport,healthcare,entertainment,utilities,grocery,hotel,fuel,other_spend,transaction_count,avg_txn_amount,top_category,top_merchant,mom_spend_change_pct,currency_code,created_at
2025-07,CUST_000002,SG,SG_BANK,Cheng Ong,premium,5163.77,66.01,2290.0,772.75,412.36,372.26,647.27,516.17,0.0,86.95,0.0,21,245.89,retail_shopping,Sephora Singapore,0.0416,SGD,2025-12-31 23:59:59
2025-08,CUST_000002,SG,SG_BANK,Cheng Ong,premium,4727.9,224.63,1081.21,637.79,481.4,122.56,1304.97,118.64,605.58,140.55,10.57,22,214.9,utilities,Singtel,-0.0844,SGD,2025-12-31 23:59:59
2025-09,CUST_000002,SG,SG_BANK,Cheng Ong,premium,8493.08,298.47,3607.44,2277.39,1021.42,383.54,326.9,568.98,0.0,0.0,8.94,33,257.37,retail_shopping,Singapore Airlines,0.7964,SGD,2025-12-31 23:59:59
2025-10,CUST_000002,SG,SG_BANK,Cheng Ong,premium,5907.07,177.44,1541.2,2045.27,0.0,233.03,186.03,444.99,1179.42,99.69,0.0,27,218.78,travel_transport,Grab Transport SG,-0.3045,SGD,2025-12-31 23:59:59
2025-11,CUST_000002,SG,SG_BANK,Cheng Ong,premium,3912.68,84.97,892.86,2003.26,363.89,172.41,113.78,187.05,0.0,0.0,94.46,18,217.37,travel_transport,ComfortDelGro,-0.3376,SGD,2025-12-31 23:59:59
2025-12,CUST_000002,SG,SG_BANK,Cheng Ong,premium,6844.05,227.1,1196.73,2184.13,197.41,188.76,405.17,724.26,1557.12,0.0,163.37,26,263.23,travel_transport,Pan Pacific Hotel,0.7492,SGD,2025-12-31 23:59:59
2025-01,CUST_000003,SG,SG_BANK,Jian Lee,mass,2173.63,52.58,1287.26,582.91,0.0,0.0,102.17,148.71,0.0,0.0,0.0,7,310.52,retail_shopping,ComfortDelGro,0.0,SGD,2025-12-31 23:59:59
2025-02,CUST_000003,SG,SG_BANK,Jian Lee,mass,1118.82,139.12,449.68,0.0,326.89,0.0,141.21,61.92,0.0,0.0,0.0,9,124.31,retail_shopping,Raffles Medical Group,-0.4853,SGD,2025-12-31 23:59:59
2025-03,CUST_000003,SG,SG_BANK,Jian Lee,mass,836.68,92.85,0.0,0.0,0.0,0.0,743.83,0.0,0.0,0.0,0.0,6,139.45,utilities,Singtel,-0.2522,SGD,2025-12-31 23:59:59
2025-04,CUST_000003,SG,SG_BANK,Jian Lee,mass,3414.44,41.03,1058.69,1598.6,0.0,79.48,0.0,0.0,636.64,0.0,0.0,8,426.81,travel_transport,Grab Transport SG,3.0809,SGD,2025-12-31 23:59:59
2025-05,CUST_000003,SG,SG_BANK,Jian Lee,mass,938.77,159.7,0.0,120.61,0.0,180.98,287.5,148.75,0.0,0.0,41.23,10,93.88,utilities,StarHub,-0.7251,SGD,2025-12-31 23:59:59
2025-06,CUST_000003,SG,SG_BANK,Jian Lee,mass,3591.86,0.0,920.73,1885.88,0.0,0.0,178.46,0.0,606.79,0.0,0.0,8,448.98,travel_transport,Scoot,2.8261,SGD,2025-12-31 23:59:59
2025-07,CUST_000003,SG,SG_BANK,Jian Lee,mass,1289.24,76.37,0.0,676.5,446.35,0.0,0.0,0.0,0.0,0.0,90.02,8,161.16,travel_transport,Singapore Airlines,-0.6411,SGD,2025-12-31 23:59:59
2025-08,CUST_000003,SG,SG_BANK,Jian Lee,mass,2120.55,155.6,1764.07,0.0,0.0,67.67,0.0,36.5,0.0,96.71,0.0,13,163.12,retail_shopping,Charles & Keith,0.6448,SGD,2025-12-31 23:59:59
2025-09,CUST_000003,SG,SG_BANK,Jian Lee,mass,1342.28,166.51,141.53,62.85,493.68,0.0,0.0,101.75,235.47,140.49,0.0,11,122.03,healthcare,Amazon,-0.367,SGD,2025-12-31 23:59:59
2025-10,CUST_000003,SG,SG_BANK,Jian Lee,mass,595.19,57.91,0.0,0.0,0.0,121.4,80.98,0.0,188.53,146.37,0.0,6,99.2,hotel,Marriott Singapore,-0.5566,SGD,2025-12-31 23:59:59
2025-11,CUST_000003,SG,SG_BANK,Jian Lee,mass,335.24,78.57,112.65,0.0,0.0,0.0,0.0,0.0,0.0,144.02,0.0,4,83.81,fuel,Agoda,-0.4368,SGD,2025-12-31 23:59:59
2025-12,CUST_000003,SG,SG_BANK,Jian Lee,mass,1809.8,136.77,0.0,698.3,441.28,188.42,318.03,0.0,0.0,0.0,27.0,10,180.98,travel_transport,Singapore Airlines,4.3985,SGD,2025-12-31 23:59:59
2025-01,CUST_000004,SG,SG_BANK,Hong Ong,mass,729.34,78.65,517.62,0.0,46.93,86.14,0.0,0.0,0.0,0.0,0.0,5,145.87,retail_shopping,Sephora Singapore,0.0,SGD,2025-12-31 23:59:59
2025-02,CUST_000004,SG,SG_BANK,Hong Ong,mass,240.25,129.32,33.94,0.0,0.0,0.0,0.0,76.99,0.0,0.0,0.0,4,60.06,food_dining,Sheng Siong,-0.6706,SGD,2025-12-31 23:59:59
2025-03,CUST_000004,SG,SG_BANK,Hong Ong,mass,423.64,0.0,0.0,0.0,0.0,0.0,270.59,153.05,0.0,0.0,0.0,2,211.82,utilities,StarHub,0.7633,SGD,2025-12-31 23:59:59
2025-04,CUST_000004,SG,SG_BANK,Hong Ong,mass,1638.6,70.23,44.4,1166.39,357.58,0.0,0.0,0.0,0.0,0.0,0.0,6,273.1,travel_transport,ComfortDelGro,2.8679,SGD,2025-12-31 23:59:59
2025-05,CUST_000004,SG,SG_BANK,Hong Ong,mass,1366.3,66.08,264.75,665.79,49.39,0.0,320.29,0.0,0.0,0.0,0.0,6,227.72,travel_transport,Grab Transport SG,-0.1662,SGD,2025-12-31 23:59:59
2025-06,CUST_000004,SG,SG_BANK,Hong Ong,mass,1366.73,56.43,0.0,298.16,430.25,197.21,88.48,296.2,0.0,0.0,0.0,8,170.84,healthcare,Parkway Health,0.0003,SGD,2025-12-31 23:59:59
2025-07,CUST_000004,SG,SG_BANK,Hong Ong,mass,226.02,0.0,0.0,0.0,0.0,0.0,226.02,0.0,0.0,0.0,0.0,1,226.02,utilities,StarHub,-0.8346,SGD,2025-12-31 23:59:59
2025-08,CUST_000004,SG,SG_BANK,Hong Ong,mass,1073.63,43.02,242.95,218.46,0.0,0.0,0.0,209.08,360.12,0.0,0.0,6,178.94,hotel,Pan Pacific Hotel,3.7502,SGD,2025-12-31 23:59:59
2025-09,CUST_000004,SG,SG_BANK,Hong Ong,mass,251.78,0.0,182.29,0.0,0.0,69.49,0.0,0.0,0.0,0.0,0.0,2,125.89,retail_shopping,ZALORA Singapore,-0.7655,SGD,2025-12-31 23:59:59
2025-10,CUST_000004,SG,SG_BANK,Hong Ong,mass,893.03,103.15,286.14,503.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,178.61,travel_transport,Netflix,2.5469,SGD,2025-12-31 23:59:59
2025-11,CUST_000004,SG,SG_BANK,Hong Ong,mass,237.42,26.77,0.0,0.0,0.0,0.0,0.0,210.65,0.0,0.0,0.0,2,118.71,grocery,Cold Storage,-0.7341,SGD,2025-12-31 23:59:59
2025-12,CUST_000004,SG,SG_BANK,Hong Ong,mass,2220.28,0.0,350.53,1692.96,0.0,176.79,0.0,0.0,0.0,0.0,0.0,6,370.05,travel_transport,ComfortDelGro,8.3517,SGD,2025-12-31 23:59:59
2025-01,CUST_000005,SG,SG_BANK,Jing Ho,mass,372.46,83.09,0.0,0.0,289.37,0.0,0.0,0.0,0.0,0.0,0.0,3,124.15,healthcare,Mount Elizabeth Hospital,0.0,SGD,2025-12-31 23:59:59
2025-02,CUST_000005,SG,SG_BANK,Jing Ho,mass,628.85,41.29,0.0,587.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,209.62,travel_transport,Grab Transport SG,0.6884,SGD,2025-12-31 23:59:59
2025-03,CUST_000005,SG,SG_BANK,Jing Ho,mass,1386.45,0.0,638.57,0.0,444.38,17.54,285.96,0.0,0.0,0.0,0.0,5,277.29,retail_shopping,Airtel,1.2047,SGD,2025-12-31 23:59:59
2025-04,CUST_000005,SG,SG_BANK,Jing Ho,mass,1314.1,0.0,328.57,202.53,0.0,0.0,340.85,354.91,0.0,0.0,87.24,6,219.02,grocery,StarHub,-0.0522,SGD,2025-12-31 23:59:59
2025-05,CUST_000005,SG,SG_BANK,Jing Ho,mass,173.94,24.86,0.0,0.0,0.0,65.58,83.5,0.0,0.0,0.0,0.0,3,57.98,utilities,SP Group,-0.8676,SGD,2025-12-31 23:59:59
2025-06,CUST_000005,SG,SG_BANK,Jing Ho,mass,581.48,55.77,0.0,0.0,0.0,185.37,0.0,340.34,0.0,0.0,0.0,4,145.37,grocery,Cold Storage,2.343,SGD,2025-12-31 23:59:59
2025-07,CUST_000005,SG,SG_BANK,Jing Ho,mass,1849.41,58.88,547.27,529.48,132.34,190.84,150.68,239.92,0.0,0.0,0.0,8,231.18,retail_shopping,Grab Transport SG,2.1805,SGD,2025-12-31 23:59:59
2025-08,CUST_000005,SG,SG_BANK,Jing Ho,mass,811.77,0.0,0.0,397.17,0.0,91.69,322.91,0.0,0.0,0.0,0.0,4,202.94,travel_transport,SP Group,-0.5611,SGD,2025-12-31 23:59:59
2025-09,CUST_000005,SG,SG_BANK,Jing Ho,mass,2348.47,166.01,0.0,1980.18,137.14,65.14,0.0,0.0,0.0,0.0,0.0,10,234.85,travel_transport,Grab Transport SG,1.893,SGD,2025-12-31 23:59:59
2025-10,CUST_000005,SG,SG_BANK,Jing Ho,mass,167.6,76.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.71,0.0,4,41.9,fuel,Old Chang Kee,-0.9286,SGD,2025-12-31 23:59:59
2025-11,CUST_000005,SG,SG_BANK,Jing Ho,mass,1519.89,0.0,635.57,748.03,0.0,0.0,0.0,0.0,0.0,136.29,0.0,5,303.98,travel_transport,Sephora Singapore,8.0686,SGD,2025-12-31 23:59:59
2025-12,CUST_000005,SG,SG_BANK,Jing Ho,mass,1330.23,104.1,79.95,503.18,0.0,0.0,304.39,338.61,0.0,0.0,0.0,8,166.28,travel_transport,Scoot,-0.1248,SGD,2025-12-31 23:59:59
2025-01,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,1252.66,34.2,468.02,0.0,0.0,74.0,230.62,350.49,0.0,0.0,95.33,9,139.18,retail_shopping,Sephora Singapore,0.0,SGD,2025-12-31 23:59:59
2025-02,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2328.01,168.65,1144.45,243.2,393.05,0.0,0.0,256.05,0.0,0.0,122.61,10,232.8,retail_shopping,Charles & Keith,0.8585,SGD,2025-12-31 23:59:59
2025-03,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,3166.12,108.02,427.52,849.15,598.06,287.27,64.75,0.0,683.93,0.0,147.42,15,211.07,travel_transport,Marriott Singapore,0.36,SGD,2025-12-31 23:59:59
2025-04,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2141.97,0.0,40.46,1303.95,510.0,16.0,0.0,226.03,0.0,0.0,45.53,8,267.75,travel_transport,Grab Transport SG,-0.3235,SGD,2025-12-31 23:59:59
2025-05,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2808.47,232.63,555.97,1979.64,0.0,40.23,0.0,0.0,0.0,0.0,0.0,12,234.04,travel_transport,Grab Transport SG,0.3112,SGD,2025-12-31 23:59:59
2025-06,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,1893.64,78.17,1776.66,0.0,0.0,0.0,0.0,0.0,0.0,38.81,0.0,8,236.7,retail_shopping,ZALORA Singapore,-0.3257,SGD,2025-12-31 23:59:59
2025-07,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2646.18,99.1,1449.24,548.39,151.81,86.76,85.34,225.54,0.0,0.0,0.0,11,240.56,retail_shopping,ZALORA Singapore,0.3974,SGD,2025-12-31 23:59:59
2025-08,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2784.2,62.19,566.59,958.23,418.47,0.0,310.45,408.76,0.0,59.51,0.0,10,278.42,travel_transport,Uniqlo Singapore,0.0522,SGD,2025-12-31 23:59:59
2025-09,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,1711.05,73.22,953.19,373.14,0.0,137.46,0.0,0.0,0.0,174.04,0.0,9,190.12,retail_shopping,Scoot,-0.3854,SGD,2025-12-31 23:59:59
2025-10,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,3197.43,134.55,1177.28,1300.68,0.0,0.0,346.88,0.0,0.0,0.0,238.04,11,290.68,travel_transport,Singapore Airlines,0.8687,SGD,2025-12-31 23:59:59
2025-11,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2534.16,78.37,817.8,1283.35,0.0,195.77,0.0,54.86,0.0,0.0,104.01,11,230.38,travel_transport,Singapore Airlines,-0.2074,SGD,2025-12-31 23:59:59
2025-12,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2166.51,0.0,497.65,718.06,52.2,274.9,183.55,311.75,0.0,0.0,128.4,11,196.96,travel_transport,Grab Transport SG,-0.1451,SGD,2025-12-31 23:59:59
2025-01,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,1841.52,99.63,0.0,0.0,406.45,0.0,0.0,491.39,844.05,0.0,0.0,6,306.92,hotel,Pan Pacific Hotel,0.0,SGD,2025-12-31 23:59:59
2025-02,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,1420.9,60.35,511.57,0.0,398.45,0.0,326.89,0.0,0.0,123.64,0.0,8,177.61,retail_shopping,Charles & Keith,-0.2284,SGD,2025-12-31 23:59:59
2025-03,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,1201.43,40.1,0.0,774.41,0.0,130.21,190.18,66.53,0.0,0.0,0.0,8,150.18,travel_transport,Singapore Airlines,-0.1545,SGD,2025-12-31 23:59:59
2025-04,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,1286.49,62.88,681.32,0.0,0.0,0.0,287.36,254.93,0.0,0.0,0.0,7,183.78,retail_shopping,Charles & Keith,0.0708,SGD,2025-12-31 23:59:59
2025-05,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,3127.94,191.79,692.98,469.91,0.0,0.0,0.0,295.78,1349.94,0.0,127.54,13,240.61,hotel,Marriott Singapore,1.4314,SGD,2025-12-31 23:59:59
2025-06,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,1011.98,0.0,141.12,0.0,0.0,310.76,0.0,560.1,0.0,0.0,0.0,6,168.66,grocery,Cold Storage,-0.6765,SGD,2025-12-31 23:59:59
2025-07,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,1448.91,14.86,971.23,0.0,0.0,0.0,0.0,363.22,0.0,99.6,0.0,8,181.11,retail_shopping,Uniqlo Singapore,0.4318,SGD,2025-12-31 23:59:59
2025-08,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,1928.02,79.13,0.0,1568.98,0.0,84.57,0.0,82.39,0.0,112.95,0.0,8,241.0,travel_transport,Scoot,0.3307,SGD,2025-12-31 23:59:59
2025-09,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,758.15,36.32,297.61,241.76,0.0,0.0,0.0,0.0,0.0,40.63,141.83,6,126.36,retail_shopping,Tenaga Nasional,-0.6068,SGD,2025-12-31 23:59:59
2025-10,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,3303.51,0.0,1497.34,976.71,0.0,415.76,0.0,154.09,0.0,259.61,0.0,14,235.96,retail_shopping,Grab Transport SG,3.3573,SGD,2025-12-31 23:59:59
2025-11,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,801.68,34.42,27.32,678.99,0.0,60.95,0.0,0.0,0.0,0.0,0.0,7,114.53,travel_transport,ComfortDelGro,-0.7573,SGD,2025-12-31 23:59:59
2025-12,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,1304.01,168.09,310.1,395.97,67.89,304.13,0.0,0.0,0.0,0.0,57.83,12,108.67,travel_transport,ZALORA Singapore,0.6266,SGD,2025-12-31 23:59:59
2025-01,CUST_000008,SG,SG_BANK,Nurul binte Salleh,mass,2612.09,120.54,911.46,1390.89,0.0,0.0,0.0,189.2,0.0,0.0,0.0,9,290.23,travel_transport,Grab Transport MY,0.0,SGD,2025-12-31 23:59:59
2025-02,CUST_000008,SG,SG_BANK,Nurul binte Salleh,mass,1060.13,38.37,202.53,333.27,0.0,0.0,485.96,0.0,0.0,0.0,0.0,5,212.03,utilities,Scoot,-0.5941,SGD,2025-12-31 23:59:59
2025-03,CUST_000008,SG,SG_BANK,Nurul binte Salleh,mass,2732.99,51.76,493.01,675.92,71.14,571.28,0.0,49.44,820.44,0.0,0.0,15,182.2,hotel,Marriott Singapore,1.578,SGD,2025-12-31 23:59:59
2025-04,CUST_000008,SG,SG_BANK,Nurul binte Salleh,mass,1581.45,0.0,0.0,0.0,194.66,296.01,0.0,182.33,834.29,0.0,74.16,6,263.58,hotel,Marriott Singapore,-0.4213,SGD,2025-12-31 23:59:59
2025-05,CUST_000008,SG,SG_BANK,Nurul binte Salleh,mass,2286.67,152.14,1592.16,158.82,0.0,0.0,0.0,0.0,383.55,0.0,0.0,10,228.67,retail_shopping,Charles & Keith,0.4459,SGD,2025-12-31 23:59:59
2025-06,CUST_000008,SG,SG_BANK,Nurul binte Salleh,mass,1219.68,49.78,173.97,0.0,439.28,187.42,0.0,295.96,0.0,73.27,0.0,7,174.24,healthcare,Raffles Medical Group,-0.4666,SGD,2025-12-31 23:59:59
2025-07,CUST_000008,SG,SG_BANK,Nurul binte Salleh,mass,2450.47,236.26,674.76,765.39,0.0,0.0,0.0,656.99,0.0,117.07,0.0,14,175.03,travel_transport,Amazon,1.0091,SGD,2025-12-31 23:59:59
2025-08,CUST_000008,SG,SG_BANK,Nurul binte Salleh,mass,1822.08,0.0,467.14,126.4,469.42,0.0,291.51,303.26,0.0,122.01,42.34,8,227.76,healthcare,Raffles Medical Group,-0.2564,SGD,2025-12-31 23:59:59
2025-09,CUST_000008,SG,SG_BANK,Nurul binte Salleh,mass,1640.66,56.95,572.06,455.82,244.84,142.39,0.0,132.06,0.0,0.0,36.54,10,164.07,retail_shopping,Charles & Keith,-0.0996,SGD,2025-12-31 23:59:59
2025-10,CUST_000008,SG,SG_BANK,Nurul binte Salleh,mass,2672.58,256.33,1062.98,36.29,477.68,101.29,478.74,0.0,0.0,149.93,109.34,16,167.04,retail_shopping,Charles & Keith,0.629,SGD,2025-12-31 23:59:59
2025-11,CUST_000008,SG,SG_BANK,Nurul binte Salleh,mass,2837.91,90.19,0.0,765.79,0.0,0.0,994.75,536.6,450.58,0.0,0.0,12,236.49,utilities,Sunway Hotel,0.0619,SGD,2025-12-31 23:59:59
2025-12,CUST_000008,SG,SG_BANK,Nurul binte Salleh,mass,1681.47,139.84,283.91,293.35,0.0,315.46,148.76,500.15,0.0,0.0,0.0,11,152.86,grocery,Shaw Theatres,-0.4075,SGD,2025-12-31 23:59:59
2025-01,CUST_000009,SG,SG_BANK,Yong Sim,mass,1802.01,111.15,0.0,57.74,271.87,197.44,452.96,697.89,0.0,0.0,12.96,13,138.62,grocery,SP Group,0.0,SGD,2025-12-31 23:59:59
2025-02,CUST_000009,SG,SG_BANK,Yong Sim,mass,1313.75,73.83,0.0,551.86,0.0,127.63,284.52,0.0,275.91,0.0,0.0,6,218.96,travel_transport,ComfortDelGro,-0.271,SGD,2025-12-31 23:59:59
2025-03,CUST_000009,SG,SG_BANK,Yong Sim,mass,2648.44,59.15,773.35,565.41,0.0,77.91,421.01,101.43,650.18,0.0,0.0,13,203.73,retail_shopping,Pan Pacific Hotel,1.0159,SGD,2025-12-31 23:59:59
2025-04,CUST_000009,SG,SG_BANK,Yong Sim,mass,2053.33,88.71,686.54,754.42,0.0,219.21,304.45,0.0,0.0,0.0,0.0,9,228.15,travel_transport,Grab Transport SG,-0.2247,SGD,2025-12-31 23:59:59
2025-05,CUST_000009,SG,SG_BANK,Yong Sim,mass,1851.82,168.05,787.92,325.79,0.0,228.77,341.29,0.0,0.0,0.0,0.0,12,154.32,retail_shopping,Amazon,-0.0981,SGD,2025-12-31 23:59:59
2025-06,CUST_000009,SG,SG_BANK,Yong Sim,mass,2027.25,203.42,254.15,677.44,490.29,192.28,0.0,209.67,0.0,0.0,0.0,11,184.3,travel_transport,Scoot,0.0947,SGD,2025-12-31 23:59:59
2025-07,CUST_000009,SG,SG_BANK,Yong Sim,mass,2390.75,52.44,575.33,296.96,0.0,0.0,448.15,323.82,694.05,0.0,0.0,9,265.64,hotel,Pan Pacific Hotel,0.1793,SGD,2025-12-31 23:59:59
2025-08,CUST_000009,SG,SG_BANK,Yong Sim,mass,1658.34,56.07,930.63,460.8,0.0,0.0,0.0,0.0,0.0,210.84,0.0,9,184.26,retail_shopping,Sephora Singapore,-0.3064,SGD,2025-12-31 23:59:59
2025-09,CUST_000009,SG,SG_BANK,Yong Sim,mass,1358.63,133.35,728.3,0.0,0.0,102.35,119.92,0.0,274.71,0.0,0.0,9,150.96,retail_shopping,Uniqlo Singapore,-0.1807,SGD,2025-12-31 23:59:59
2025-10,CUST_000009,SG,SG_BANK,Yong Sim,mass,685.66,57.76,71.35,431.37,125.18,0.0,0.0,0.0,0.0,0.0,0.0,5,137.13,travel_transport,ComfortDelGro,-0.4953,SGD,2025-12-31 23:59:59
2025-11,CUST_000009,SG,SG_BANK,Yong Sim,mass,2591.04,6.94,114.4,715.98,487.42,367.23,0.0,0.0,899.07,0.0,0.0,8,323.88,hotel,Marriott Singapore,2.7789,SGD,2025-12-31 23:59:59
2025-12,CUST_000009,SG,SG_BANK,Yong Sim,mass,405.74,92.22,0.0,184.55,0.0,12.39,0.0,116.58,0.0,0.0,0.0,5,81.15,travel_transport,Grab Transport SG,-0.8434,SGD,2025-12-31 23:59:59
2025-01,CUST_000010,SG,SG_BANK,Ming Yeo,affluent,2484.87,40.81,419.21,713.56,0.0,81.92,444.14,0.0,674.65,110.58,0.0,12,207.07,travel_transport,Grab Transport SG,0.0,SGD,2025-12-31 23:59:59
2025-02,CUST_000010,SG,SG_BANK,Ming Yeo,affluent,2395.72,76.68,310.57,1039.96,317.11,16.14,271.99,223.57,0.0,139.7,0.0,13,184.29,travel_transport,ComfortDelGro,-0.0359,SGD,2025-12-31 23:59:59
2025-03,CUST_000010,SG,SG_BANK,Ming Yeo,affluent,2051.58,204.17,0.0,1009.78,0.0,103.24,230.01,261.77,175.36,0.0,67.25,10,205.16,travel_transport,ComfortDelGro,-0.1436,SGD,2025-12-31 23:59:59
2025-04,CUST_000010,SG,SG_BANK,Ming Yeo,affluent,2865.33,94.81,820.81,735.71,0.0,173.15,312.93,593.85,0.0,0.0,134.07,14,204.67,retail_shopping,Scoot,0.3966,SGD,2025-12-31 23:59:59
2025-05,CUST_000010,SG,SG_BANK,Ming Yeo,affluent,2240.86,512.32,470.26,1258.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,172.37,travel_transport,IndiGo,-0.2179,SGD,2025-12-31 23:59:59
